Table  Energy Sold by Type of Customers (GWh),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,2021,,,
PLN Operational Unit/ Residential Industrial Business,Residential,Industrial,Business,Social,Gov. Office,Publ. Street,Total,(%)
Province,,,,,Building,Lighting,,
UIW Aceh ,"1,929.59",190.56,515.04,208.23,107.18,123.87,"3,074.47",1.19
UIW North Sumatera   ,"5,998.75","3,082.97","1,672.31",432.68,146.38,415.31,"11,748.40",4.56
UIW West Sumatera   ,"1,781.19",945.24,573.7,169.92,80.45,95.7,"3,646.20",1.42
UIW Riau and Riau Archipelago   ,"3,431.96","1,633.60","1,408.09",259.18,151.32,137.01,"7,021.16",2.73
- Riau   ,"2,935.09","1,593.61","1,130.68",222.55,112.15,114.24,"6,108.32",2.37
- Riau Archipelago   ,496.87,39.99,277.41,36.63,39.17,22.77,912.84,0.35
"UIW South Sumatera, Jambi and  ","5,338.70","1,252.87","1,479.67",328.15,186.86,178.21,"8,764.46",3.4
- South Sumatera   ,"3,213.41",997.88,938.33,203.58,109.06,131.67,"5,593.93",2.17
- Jambi   ,"1,373.30",175.26,394.86,83.48,48.35,36.67,"2,111.92",0.82
- Bengkulu   ,751.99,79.73,146.48,41.09,29.45,9.87,"1,058.61",0.41
UIW Bangka Belitung   ,734.92,334.89,204.61,50.17,35.16,9.45,"1,369.20",0.53
UID Lampung   ,"3,032.14","1,100.99",645.49,201.45,73.25,123.62,"5,176.94",2.01
UIW West Kalimantan   ,"1,851.60",232.03,584.47,116.13,82.01,46.74,"2,912.98",1.13
UIW S and C Kalimantan  ,"2,798.64",600.24,832.16,193.66,139.95,83.95,"4,648.60",1.8
- South Kalimantan  ,"1,814.17",433,533.07,129.76,78.13,62.58,"3,050.71",1.18
- Central Kalimantan   ,984.47,167.24,299.09,63.9,61.82,21.37,"1,597.89",0.62
UIW East and North Kalimantan  ,"2,421.02",458.86,"1,019.31",180.25,169.47,53.03,"4,301.94",1.67
"UIW N, C Sulawesi and Gorontalo ","2,314.92",488.9,698.72,176.58,141.62,112.08,"3,932.82",1.53
- North Sulawesi   ,970.99,384.49,405.97,83.52,48.5,46.79,"1,940.26",0.75
- Gorontalo   ,416.64,39.8,102.2,29.87,39.51,10.69,638.71,0.25
- Central Sulawesi  ,927.29,64.61,190.55,63.19,53.61,54.6,"1,353.85",0.53
"UIW S, SE and W Sulawesi  ","4,327.98","1,733.74","1,401.91",340.33,222.45,160.79,"8,187.20",3.18
- South Sulawesi   ,"3,262.35","1,635.68","1,133.23",274.32,158.31,133.98,"6,597.87",2.56
- Southeast Sulawesi  ,769.5,59.27,211.6,46.32,43.86,19.29,"1,149.84",0.45
- West Sulawesi   ,296.13,38.79,57.08,19.69,20.28,7.52,439.49,0.17
UIW Maluku and North Maluku ,793.78,16.66,245.39,63.09,83.74,17.26,"1,219.92",0.47
- Maluku   ,349.21,10.51,135.77,33.69,46.13,7.57,582.88,0.23
- North Maluku   ,444.57,6.15,109.62,29.4,37.61,9.69,637.04,0.25
UIW Papua and West Papua   ,"1,081.71",21.31,470.72,98.57,130.67,17.87,"1,820.85",0.71
- Papua  ,726.39,11.84,334.18,66.18,87.21,11.84,"1,237.64",0.48
- West Papua   ,355.32,9.47,136.54,32.39,43.46,6.03,583.21,0.23
UID Bali   ,"2,343.14",183.47,"1,833.48",159.46,120.41,68.06,"4,708.02",1.83
UIW West Nusa Tenggara  ,"1,510.06",178.58,401.48,95.68,48.17,56.22,"2,290.19",0.89
UIW East Nusa Tenggara   ,749.03,41.19,238.66,65.08,48.3,17.9,"1,160.16",0.45
PT PLN Batam   ,891.51,846.18,706.9,67.19,39.61,14.4,"2,565.79",1
O u t s i d e  J a v a ,"43,330.64","13,342.28","14,932.11","3,205.80","2,007.00","1,731.47","78,549.30",30.49
UID East Java   ,"15,618.65","16,469.27","5,014.11","1,326.27",421.15,607.74,"39,457.19",15.32
UID Central Java and Yogyakarta  ,"14,756.13","8,597.95","4,212.85","1,300.84",351.47,550.3,"29,769.54",11.55
- Central Java ,"12,986.94","8,332.48","3,512.97","1,055.15",284.09,489.53,"26,661.16",10.35
- D.I. Yogyakarta ,"1,769.19",265.47,699.88,245.69,67.38,60.77,"3,108.38",1.21
UID West Java ,"20,925.89","24,077.60","6,277.79","1,214.62",449.98,372.14,"53,318.02",20.7
UID Banten  ,"6,014.22","14,233.05","3,009.44",331.65,159.66,82.89,"23,830.91",9.25
UID Jakarta Raya ,"14,724.52","4,184.30","10,994.55","1,286.81","1,318.71",200.41,"32,709.30",12.7
J a v a   ,"72,039.41","67,562.17","29,508.74","5,460.19","2,700.97","1,813.48","179,084.96",69.51
I n d o n e s i a ,"115,370.05","80,904.45","44,440.85","8,665.99","4,707.97","3,544.95","257,634.25",100
(%)  ,44.78,31.4,17.25,3.36,1.83,1.38,100,