38 Provinsi,,,
,Kapasitas Terpasang Pembangkit Listrik Menurut Provinsi (Mega Watt),,
,2021,2022,2023
ACEH,904.88,894.55,1110.82
SUMATERA UTARA,4603.58,4612.67,4066.51
SUMATERA BARAT,1031.49,1012.23,1026.11
RIAU,1429.86,1492.82,1509.77
JAMBI,369.81,341.11,277.95
SUMATERA SELATAN,2286.43,2294.45,3480.39
BENGKULU,529.89,547.52,547.51
LAMPUNG,1087.92,1095.72,1095.88
KEP. BANGKA BELITUNG,354.93,349.26,346.84
KEP. RIAU,757.43,956.84,1053.13
DKI JAKARTA,5126.27,5119.77,5119.77
JAWA BARAT,9079,11023.5,10515.9
JAWA TENGAH,8764.04,13543.39,12121.3
DI YOGYAKARTA,0.78,0.78,0.78
JAWA TIMUR,10063.77,9980.61,9881.79
BANTEN,8932.98,8932.98,8933.22
BALI,1009.04,1107.48,1216.49
NUSA TENGGARA BARAT,690.26,736.88,795.91
NUSA TENGGARA TIMUR,505.02,498.8,510.49
KALIMANTAN BARAT,809.23,970.92,1039.77
KALIMANTAN TENGAH,617.68,790.52,787.52
KALIMANTAN SELATAN,675.89,665.96,694.24
KALIMANTAN TIMUR,1505.18,1478.97,1503.18
KALIMANTAN UTARA,249.43,253.6,252.8
SULAWESI UTARA,571.18,545.62,549.41
SULAWESI TENGAH,649.76,885.89,885.14
SULAWESI SELATAN,1874.2,1897.74,1969.5
SULAWESI TENGGARA,405.7,397.96,394.77
GORONTALO,229.51,320.32,294.24
SULAWESI BARAT,57.4,57.4,59.42
MALUKU,390.74,471.91,365.78
MALUKU UTARA,157.88,190.06,362.51
PAPUA BARAT,267.51,219.19,111.48
PAPUA,525.64,531.07,259.06
INDONESIA,66514.31,74218.45,73460.81